Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0805_2012Metric",126.619000,-67.183000,0.000000,bottom
"C2","22pF","C_0805_2012Metric",126.619000,-60.833000,180.000000,bottom
"C3","0.1uF","C_0805_2012Metric",115.443000,-74.549000,0.000000,bottom
"C4","0.1uF","C_0805_2012Metric",102.743000,-70.104000,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",102.743000,-62.357000,270.000000,bottom
"C6","0.1uF","C_0805_2012Metric",119.507000,-62.865000,90.000000,bottom
"C7","0.1uF","C_0805_2012Metric",113.411000,-55.880000,90.000000,bottom
"C8","10uF","C_0805_2012Metric",106.426000,-57.404000,0.000000,bottom
"C9","1uF","C_0805_2012Metric",110.363000,-55.880000,90.000000,bottom
"D_1","D","D_SOD-123",22.733000,-10.414000,90.000000,bottom
"D_2","D","D_SOD-123",41.862500,-10.406000,90.000000,bottom
"D_3","D","D_SOD-123",60.912500,-10.406000,90.000000,bottom
"D_4","D","D_SOD-123",79.962500,-10.406000,90.000000,bottom
"D_5","D","D_SOD-123",99.012500,-10.406000,90.000000,bottom
"D_6","D","D_SOD-123",118.062500,-10.406000,90.000000,bottom
"D_7","D","D_SOD-123",136.906000,-11.049000,90.000000,bottom
"D_8","D","D_SOD-123",156.162500,-10.406000,90.000000,bottom
"D_9","D","D_SOD-123",175.212500,-10.406000,90.000000,bottom
"D_10","D","D_SOD-123",194.262500,-10.406000,90.000000,bottom
"D_11","D","D_SOD-123",213.312500,-10.406000,90.000000,bottom
"D_12","D","D_SOD-123",232.362500,-10.406000,90.000000,bottom
"D_13","D","D_SOD-123",251.412500,-10.406000,90.000000,bottom
"D_14","D","D_SOD-123",273.050000,-10.406000,90.000000,bottom
"D_15","D","D_SOD-123",32.337500,-29.456000,90.000000,bottom
"D_16","D","D_SOD-123",51.387500,-29.456000,90.000000,bottom
"D_17","D","D_SOD-123",70.437500,-29.456000,90.000000,bottom
"D_18","D","D_SOD-123",89.487500,-29.456000,90.000000,bottom
"D_19","D","D_SOD-123",108.537500,-29.456000,90.000000,bottom
"D_20","D","D_SOD-123",127.587500,-29.456000,90.000000,bottom
"D_21","D","D_SOD-123",146.637500,-29.456000,90.000000,bottom
"D_22","D","D_SOD-123",165.687500,-29.456000,90.000000,bottom
"D_23","D","D_SOD-123",184.737500,-29.456000,90.000000,bottom
"D_24","D","D_SOD-123",203.787500,-29.456000,90.000000,bottom
"D_25","D","D_SOD-123",222.837500,-29.456000,90.000000,bottom
"D_26","D","D_SOD-123",241.887500,-29.456000,90.000000,bottom
"D_27","D","D_SOD-123",273.050000,-29.456000,90.000000,bottom
"D_28","D","D_SOD-123",41.862500,-48.506000,90.000000,bottom
"D_29","D","D_SOD-123",60.912500,-48.506000,90.000000,bottom
"D_30","D","D_SOD-123",79.962500,-48.506000,90.000000,bottom
"D_31","D","D_SOD-123",99.012500,-48.506000,90.000000,bottom
"D_32","D","D_SOD-123",118.062500,-48.506000,90.000000,bottom
"D_33","D","D_SOD-123",137.112500,-48.506000,90.000000,bottom
"D_34","D","D_SOD-123",156.162500,-48.506000,90.000000,bottom
"D_35","D","D_SOD-123",175.212500,-48.506000,90.000000,bottom
"D_36","D","D_SOD-123",194.262500,-48.506000,90.000000,bottom
"D_37","D","D_SOD-123",213.312500,-48.506000,90.000000,bottom
"D_38","D","D_SOD-123",232.362500,-48.506000,90.000000,bottom
"D_39","D","D_SOD-123",273.050000,-48.514000,90.000000,bottom
"D_40","D","D_SOD-123",46.625000,-67.683000,90.000000,bottom
"D_41","D","D_SOD-123",70.437500,-67.683000,90.000000,bottom
"D_42","D","D_SOD-123",99.060000,-67.691000,90.000000,bottom
"D_43","D","D_SOD-123",165.354000,-67.691000,90.000000,bottom
"D_44","D","D_SOD-123",203.660500,-67.683000,90.000000,bottom
"D_45","D","D_SOD-123",227.473000,-67.683000,90.000000,bottom
"D_46","D","D_SOD-123",245.745000,-67.683000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",139.319000,-11.049000,90.000000,bottom
"R1","10k","R_0805_2012Metric",154.813000,-66.040000,270.000000,bottom
"R2","22","R_0805_2012Metric",137.160000,-16.129000,90.000000,bottom
"R3","22","R_0805_2012Metric",139.192000,-16.129000,90.000000,bottom
"R4","10k","R_0805_2012Metric",106.045000,-74.549000,0.000000,bottom
"R5","5.1k","R_0805_2012Metric",135.255000,-6.144500,90.000000,bottom
"R6","5.1k","R_0805_2012Metric",141.478000,-6.223000,90.000000,bottom
"SW1","SW_Push","SKQG-1155865",149.479000,-66.040000,0.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",110.744000,-66.675000,270.000000,bottom
"U2","PRTR5V0U2X","SOT143B",138.176000,-6.477000,180.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",126.619000,-64.008000,90.000000,bottom
